OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteVolume,NumberTrades,BaseVolumne,QuoteVolumne,Ignored
2020-07-17 09:02:00,0.00190860,0.00191030,0.00190710,0.00191030,1028.01000000,2020-07-17 09:02:59.999,1.96301724,69,912.09000000,1.74167516,0
2020-07-17 09:03:00,0.00191020,0.00191030,0.00190730,0.00190820,565.21000000,2020-07-17 09:03:59.999,1.07913243,53,150.83000000,0.28790010,0
2020-07-17 09:04:00,0.00190820,0.00190900,0.00190690,0.00190800,73.00000000,2020-07-17 09:04:59.999,0.13930148,44,46.82000000,0.08935026,0
2020-07-17 09:05:00,0.00190800,0.00190900,0.00190690,0.00190740,650.51000000,2020-07-17 09:05:59.999,1.24138793,43,475.71000000,0.90798668,0
2020-07-17 09:06:00,0.00190810,0.00190860,0.00190740,0.00190760,112.66000000,2020-07-17 09:06:59.999,0.21497008,30,85.84000000,0.16380529,0
2020-07-17 09:07:00,0.00190790,0.00190850,0.00190510,0.00190670,685.64000000,2020-07-17 09:07:59.999,1.30804092,54,63.44000000,0.12104758,0
2020-07-17 09:08:00,0.00190620,0.00190840,0.00190510,0.00190640,1096.20000000,2020-07-17 09:08:59.999,2.08966884,69,648.00000000,1.23525570,0
2020-07-17 09:09:00,0.00190720,0.00190760,0.00190560,0.00190760,190.30000000,2020-07-17 09:09:59.999,0.36292410,33,100.88000000,0.19241342,0
2020-07-17 09:10:00,0.00190760,0.00190760,0.00190380,0.00190440,238.72000000,2020-07-17 09:10:59.999,0.45506838,31,11.54000000,0.02198880,0
2020-07-17 09:11:00,0.00190460,0.00190740,0.00190430,0.00190650,373.53000000,2020-07-17 09:11:59.999,0.71149200,50,339.34000000,0.64632115,0
2020-07-17 09:12:00,0.00190650,0.00190760,0.00190600,0.00190720,173.98000000,2020-07-17 09:12:59.999,0.33177099,43,152.86000000,0.29150720,0
2020-07-17 09:13:00,0.00190720,0.00190770,0.00190630,0.00190730,460.63000000,2020-07-17 09:13:59.999,0.87853289,46,226.55000000,0.43208757,0
2020-07-17 09:14:00,0.00190730,0.00190810,0.00190610,0.00190760,609.60000000,2020-07-17 09:14:59.999,1.16254614,48,405.19000000,0.77267519,0
2020-07-17 09:15:00,0.00190730,0.00190770,0.00190730,0.00190730,474.17000000,2020-07-17 09:15:59.999,0.90438651,25,5.24000000,0.00999508,0
2020-07-17 09:16:00,0.00190730,0.00190810,0.00190730,0.00190730,1710.14000000,2020-07-17 09:16:59.999,3.26175453,77,10.56000000,0.02014591,0
2020-07-17 09:17:00,0.00190730,0.00190740,0.00190500,0.00190570,3368.38000000,2020-07-17 09:17:59.999,6.42411138,175,101.61000000,0.19369141,0
2020-07-17 09:18:00,0.00190520,0.00190680,0.00190490,0.00190570,230.58000000,2020-07-17 09:18:59.999,0.43945446,52,62.67000000,0.11943584,0
2020-07-17 09:19:00,0.00190570,0.00190600,0.00190250,0.00190500,421.68000000,2020-07-17 09:19:59.999,0.80257560,76,190.25000000,0.36205260,0
2020-07-17 09:20:00,0.00190570,0.00190570,0.00190250,0.00190260,307.06000000,2020-07-17 09:20:59.999,0.58437379,64,71.82000000,0.13669499,0
2020-07-17 09:21:00,0.00190250,0.00190360,0.00190250,0.00190270,133.91000000,2020-07-17 09:21:59.999,0.25483429,45,74.73000000,0.14222239,0
2020-07-17 09:22:00,0.00190270,0.00190360,0.00190250,0.00190360,109.68000000,2020-07-17 09:22:59.999,0.20870367,35,50.46000000,0.09602761,0
2020-07-17 09:23:00,0.00190340,0.00190360,0.00190250,0.00190310,551.63000000,2020-07-17 09:23:59.999,1.04952234,40,41.79000000,0.07953566,0
2020-07-17 09:24:00,0.00190360,0.00190410,0.00190260,0.00190340,152.61000000,2020-07-17 09:24:59.999,0.29050601,33,115.00000000,0.21893343,0
2020-07-17 09:25:00,0.00190330,0.00190490,0.00190270,0.00190300,169.84000000,2020-07-17 09:25:59.999,0.32326741,64,42.25000000,0.08043633,0
2020-07-17 09:26:00,0.00190360,0.00190420,0.00190270,0.00190350,172.33000000,2020-07-17 09:26:59.999,0.32799919,40,98.61000000,0.18770678,0
2020-07-17 09:27:00,0.00190350,0.00190370,0.00190250,0.00190320,239.20000000,2020-07-17 09:27:59.999,0.45517701,49,14.27000000,0.02716191,0
2020-07-17 09:28:00,0.00190340,0.00190340,0.00190250,0.00190300,626.23000000,2020-07-17 09:28:59.999,1.19149097,42,39.33000000,0.07484565,0
2020-07-17 09:29:00,0.00190290,0.00190370,0.00190250,0.00190370,205.29000000,2020-07-17 09:29:59.999,0.39069773,43,179.59000000,0.34179270,0
2020-07-17 09:30:00,0.00190350,0.00190530,0.00190280,0.00190470,514.15000000,2020-07-17 09:30:59.999,0.97881786,55,280.92000000,0.53480587,0
2020-07-17 09:31:00,0.00190490,0.00190620,0.00190380,0.00190620,445.02000000,2020-07-17 09:31:59.999,0.84796793,38,424.82000000,0.80947219,0
2020-07-17 09:32:00,0.00190610,0.00190720,0.00190610,0.00190720,326.69000000,2020-07-17 09:32:59.999,0.62295522,62,196.01000000,0.37376868,0
2020-07-17 09:33:00,0.00190740,0.00190840,0.00190580,0.00190620,1779.38000000,2020-07-17 09:33:59.999,3.39445933,55,265.26000000,0.50567600,0
2020-07-17 09:34:00,0.00190660,0.00190740,0.00190320,0.00190380,290.39000000,2020-07-17 09:34:59.999,0.55325598,54,75.47000000,0.14387724,0
2020-07-17 09:35:00,0.00190320,0.00190610,0.00190320,0.00190550,464.77000000,2020-07-17 09:35:59.999,0.88542747,56,434.73000000,0.82819009,0
2020-07-17 09:36:00,0.00190500,0.00190610,0.00190380,0.00190390,338.81000000,2020-07-17 09:36:59.999,0.64557364,44,196.60000000,0.37466232,0
